id,longitude,latitude
"0",36.7807658000,-1.3141813300
"1",36.7835053300,-1.3081109700
"2",36.7940033900,-1.3135962700
"3",36.7766195000,-1.3116669200
"4",36.7789781100,-1.3140602300
"5",36.7846998700,-1.3113163900
"6",36.7729916500,-1.3103444600
"7",36.7753308200,-1.3119773000
"8",36.7787262000,-1.3145315000
"9",36.7913206500,-1.3107507700
"10",36.7950438400,-1.3157795000
"11",36.7904167400,-1.3131973100
"12",36.7823157100,-1.3143050100
"13",36.7847067000,-1.3065336200
"14",36.7816979200,-1.3166182700
"15",36.7912248100,-1.3145030400
"16",36.7883397300,-1.3128159700
"17",36.7833701600,-1.3130371500
"18",36.7945131800,-1.3178751800
"19",36.7954525500,-1.3114892600
"20",36.7929276400,-1.3114316800
"21",36.7898349900,-1.3123430600
"22",36.7861590800,-1.3100021000
"23",36.7878981500,-1.3102648600
"24",36.7796260400,-1.3130204000
"25",36.7782210900,-1.3145161100
"26",36.7836996300,-1.3129656400
"27",36.7932981700,-1.3165550900
"28",36.7864399400,-1.3096549000
"29",36.7733449700,-1.3113788300
"30",36.7771310800,-1.3170198700
"31",36.7918530500,-1.3143973900
"32",36.7723985300,-1.3093830800
"33",36.7982757100,-1.3135750500
"34",36.7793851400,-1.3167918300
"35",36.7841881500,-1.3061672000
"36",36.7926992500,-1.3095736700
"37",36.7883145400,-1.3129938800
"38",36.7870121400,-1.3067689700
"39",36.7950626600,-1.3192186400
"40",36.7989122800,-1.3137103600
"41",36.7784634000,-1.3118459600
"42",36.7871245300,-1.3103212500
"43",36.8005446400,-1.3173672300
"44",36.7986496400,-1.3162565000
"45",36.7917311600,-1.3110717900
"46",36.7942957400,-1.3140847900
"47",36.7911363000,-1.3125125700
"48",36.7839669200,-1.3090419800
"49",36.7870397100,-1.3117831700
"50",36.7864320300,-1.3077942200
"51",36.7877945400,-1.3118427900
"52",36.7940981500,-1.3169713800
"53",36.7754174400,-1.3148601300
"54",36.7742123000,-1.3107476000
"55",36.7819442600,-1.3144079000
"56",36.7938123900,-1.3177339500
"57",36.7885965100,-1.3066517200
"58",36.7765647900,-1.3137456100
"59",36.7937178800,-1.3133462200
"60",36.7761195700,-1.3170934500
"61",36.7891327200,-1.3098315300
"62",36.7743794400,-1.3135516000
"63",36.7989186000,-1.3129376600
"64",36.7973178900,-1.3179058500
"65",36.7950516500,-1.3119972600
"66",36.7720650300,-1.3086171700
"67",36.7876333600,-1.3109887400
"68",36.7804845300,-1.3167240600
"69",36.7914487200,-1.3113397400
"70",36.7854363100,-1.3135163200
"71",36.7944833400,-1.3155638900
"72",36.7721110700,-1.3109344500
"73",36.7856387600,-1.3086320400
"74",36.7931341300,-1.3163707700
"75",36.7986564800,-1.3161015600
"76",36.7974783400,-1.3121167700
"77",36.7836095400,-1.3123380900
"78",36.7809919100,-1.3091460300
"79",36.7951733300,-1.3175254600
"80",36.7985829700,-1.3183658900
"81",36.7845652000,-1.3091553800
"82",36.7937739400,-1.3180110100
"83",36.7729316300,-1.3096984800
"84",36.7953718200,-1.3102676200
"85",36.7857898100,-1.3131460300
"86",36.7968666800,-1.3173710400
"87",36.7983391000,-1.3127768800
"88",36.7882651800,-1.3093893700
"89",36.7848756000,-1.3074878500
"90",36.7946182300,-1.3118941100
"91",36.7914140000,-1.3141343800
"92",36.7855934100,-1.3067515300
"93",36.7961781900,-1.3138797700
"94",36.7731694200,-1.3118513400
"95",36.7848271400,-1.3144471700
"96",36.7806368600,-1.3180471400
"97",36.7816717700,-1.3100248800
"98",36.7832408100,-1.3115147400
"99",36.7933466600,-1.3130209000
"100",36.7858071000,-1.3070199900
"101",36.7924947400,-1.3156010700
"102",36.7854427700,-1.3124656900
"103",36.7760695000,-1.3146681600
"104",36.7957521600,-1.3108611800
"105",36.7759679200,-1.3127891300
"106",36.7732135600,-1.3097627400
"107",36.7841844200,-1.3092684700
"108",36.7876240300,-1.3103884300
"109",36.7912442700,-1.3131490000
"110",36.7961259900,-1.3149500900
"111",36.7781723700,-1.3117413500
"112",36.7960434100,-1.3113802100
"113",36.7779489900,-1.3128429300
"114",36.7958240200,-1.3137649200
"115",36.7909143900,-1.3165992100
"116",36.7978358500,-1.3149174900
"117",36.7721947200,-1.3090559700
"118",36.7939697100,-1.3132664500
"119",36.7911077000,-1.3114384400
