id,longitude,latitude
"0",36.0630083500,-0.3154758200
"1",36.0547193400,-0.3084217400
"2",36.0613400700,-0.3115284800
"3",36.0660746000,-0.3080152400
"4",36.0555260900,-0.3010685200
"5",36.0468186600,-0.2942987100
"6",36.0622011300,-0.3149501400
"7",36.0402089100,-0.3012536600
"8",36.0572028200,-0.3171225500
"9",36.0450891500,-0.2933995000
"10",36.0611368700,-0.3092389700
"11",36.0662823900,-0.3065229000
"12",36.0557519600,-0.3167860300
"13",36.0574415100,-0.3176166500
"14",36.0518125400,-0.3050002500
"15",36.0413948600,-0.3038562600
"16",36.0419297600,-0.2938669900
"17",36.0422217700,-0.2988925500
"18",36.0512930200,-0.3092762200
"19",36.0553533800,-0.3195658000
"20",36.0604894500,-0.3067266700
"21",36.0497545400,-0.3082271800
"22",36.0583872800,-0.3113347100
"23",36.0502056500,-0.3051574100
"24",36.0506292500,-0.3118025200
"25",36.0589744200,-0.3155828800
"26",36.0568536400,-0.3094863200
"27",36.0474642100,-0.2951620900
"28",36.0541959700,-0.3038475400
"29",36.0520319700,-0.3115257500
"30",36.0471413900,-0.3061243000
"31",36.0569097400,-0.3166906400
"32",36.0682607900,-0.3142453500
"33",36.0660926500,-0.3188395800
"34",36.0525824700,-0.3035388500
"35",36.0570694900,-0.3094525900
"36",36.0605002000,-0.3120535500
"37",36.0644282500,-0.3027479400
"38",36.0620690300,-0.3113423500
"39",36.0466365100,-0.2978877200
"40",36.0457669200,-0.2992652800
"41",36.0432977400,-0.2973909400
"42",36.0641614600,-0.3077331900
"43",36.0453133900,-0.2972177800
"44",36.0555888800,-0.3106184900
"45",36.0620850100,-0.3049490500
"46",36.0439970800,-0.3033165300
"47",36.0437412100,-0.3003139900
"48",36.0576960900,-0.3224454700
"49",36.0445837500,-0.3043063200
"50",36.0600938900,-0.3099293900
"51",36.0571421600,-0.3109370100
"52",36.0598797900,-0.3146317800
"53",36.0558501400,-0.3029841900
"54",36.0586481300,-0.3071357100
"55",36.0456967000,-0.2984600400
"56",36.0670292100,-0.3104703300
"57",36.0591723400,-0.3103359400
"58",36.0462635300,-0.2987568000
"59",36.0465251400,-0.2967109600
"60",36.0470913800,-0.3098017500
"61",36.0531109400,-0.3145284500
"62",36.0660712500,-0.3070341700
"63",36.0630547000,-0.3140887300
"64",36.0494683500,-0.2966613600
"65",36.0542321300,-0.3049201700
"66",36.0569324800,-0.3025927100
"67",36.0580344900,-0.3095692500
"68",36.0522393900,-0.3031381300
"69",36.0491920000,-0.3002116800
"70",36.0599040200,-0.3132319600
"71",36.0518447000,-0.3040958500
"72",36.0467829800,-0.2992828200
"73",36.0605010400,-0.3172446900
"74",36.0653826900,-0.3126035300
"75",36.0637712100,-0.3126482600
"76",36.0559416100,-0.3120890500
"77",36.0568331100,-0.3091755900
"78",36.0572435500,-0.3151884700
"79",36.0658503000,-0.3172026500
"80",36.0664882200,-0.3117249500
"81",36.0429883600,-0.2968103100
"82",36.0435656100,-0.3021590200
"83",36.0620814500,-0.3059358800
"84",36.0591656700,-0.3082235700
"85",36.0564224700,-0.3163742700
"86",36.0598352000,-0.3040506200
"87",36.0567806000,-0.3007730200
"88",36.0430169900,-0.3046853800
"89",36.0558484900,-0.3050755500
"90",36.0467462400,-0.3107507700
"91",36.0675937200,-0.3186844400
"92",36.0529469000,-0.3036482600
"93",36.0558961300,-0.3079041300
"94",36.0589954200,-0.3100707800
"95",36.0560175800,-0.3137632500
"96",36.0592440500,-0.3085836100
"97",36.0587326900,-0.3171125800
"98",36.0584717000,-0.3054218800
"99",36.0568817500,-0.3170157900
"100",36.0526537300,-0.3168108300
"101",36.0617336800,-0.3177408800
"102",36.0526653800,-0.3023176300
"103",36.0557495900,-0.3142980500
"104",36.0600225500,-0.3026366100
"105",36.0583189000,-0.3190987600
"106",36.0670303100,-0.3116278300
"107",36.0481734300,-0.2969722000
"108",36.0459018000,-0.3077889600
"109",36.0551173400,-0.3168265800
"110",36.0414455100,-0.3037641400
"111",36.0637304100,-0.3030140400
"112",36.0531705900,-0.3059786300
"113",36.0684372400,-0.3121811400
"114",36.0605880800,-0.3141311500
"115",36.0403191100,-0.3035043300
"116",36.0540017900,-0.3003511900
"117",36.0527005500,-0.3037344600
"118",36.0512119600,-0.3068031900
"119",36.0582566200,-0.3089929600
